,tconst,titleType,primaryTitle,originalTitle,isAdult,startYear,endYear,runtimeMinutes,genres,averageRating,numVotes,url
222385,tt5153754,movie,Priyut komediantov,Priyut komediantov,0,1995,\N,76,Comedy,3.8,9,https://www.imdb.com/title/tt5153754/
185565,tt2233762,movie,A World Not Ours,Alam laysa lana,0,2012,\N,93,"Biography,Documentary,History",8.0,329,https://www.imdb.com/title/tt2233762/
164334,tt1525366,movie,Grabbers,Grabbers,0,2012,\N,94,"Action,Adventure,Comedy",6.3,17887,https://www.imdb.com/title/tt1525366/
143170,tt11399518,movie,City of Trees,City of Trees,0,2019,\N,87,"Drama,Romance",6.1,364,https://www.imdb.com/title/tt11399518/
24201,tt0052296,movie,A Time to Love and a Time to Die,A Time to Love and a Time to Die,0,1958,\N,132,"Drama,Romance,War",7.7,3016,https://www.imdb.com/title/tt0052296/
235942,tt6567960,movie,Azimuth,Azimuth,0,2017,\N,75,"Action,Drama,War",7.0,48,https://www.imdb.com/title/tt6567960/
84432,tt0215891,movie,"Kathe navagio, kai mia kolasi","Kathe navagio, kai mia kolasi",0,1971,\N,83,Drama,5.3,13,https://www.imdb.com/title/tt0215891/
222755,tt5186644,movie,Influx: Documentary,Influx: Documentary,0,2016,\N,\N,Documentary,6.9,28,https://www.imdb.com/title/tt5186644/
220733,tt5003038,movie,"Tomorrow, Maybe","Tomorrow, Maybe",0,2017,\N,84,Drama,6.3,70,https://www.imdb.com/title/tt5003038/
222774,tt5188450,movie,Train Chaar Baje Ki Hai,Train Chaar Baje Ki Hai,0,2015,\N,57,Documentary,8.0,17,https://www.imdb.com/title/tt5188450/
115097,tt0401379,movie,Dirigido por...,Dirigido por...,0,2005,\N,98,Documentary,6.7,21,https://www.imdb.com/title/tt0401379/
152028,tt1294793,movie,Old Habits Die Hard,Old Habits Die Hard,0,2009,\N,\N,Horror,4.5,29,https://www.imdb.com/title/tt1294793/
194070,tt2643994,movie,Gia su nu quai,Gia su nu quai,0,2012,\N,100,"Comedy,Drama,Music",4.6,34,https://www.imdb.com/title/tt2643994/
243868,tt7669768,movie,A Father's Diary,A Father's Diary,0,2021,\N,113,Drama,9.0,30,https://www.imdb.com/title/tt7669768/
178822,tt1976010,movie,Congratulations,Congratulations,0,2012,\N,95,"Comedy,Drama,Family",7.5,57,https://www.imdb.com/title/tt1976010/
67758,tt0139385,movie,Iris,Iris,0,1968,\N,95,"Drama,Romance",7.2,24,https://www.imdb.com/title/tt0139385/
13388,tt0036426,movie,They Came to Blow Up America,They Came to Blow Up America,0,1943,\N,73,"Drama,War",6.5,210,https://www.imdb.com/title/tt0036426/
245127,tt7868082,movie,Charming the Hearts of Men,Charming the Hearts of Men,0,2021,\N,107,"Drama,History,Romance",7.4,1105,https://www.imdb.com/title/tt7868082/
144028,tt11548674,movie,Voodoo Doll,Linh Duyên,0,2017,\N,87,Horror,4.1,9,https://www.imdb.com/title/tt11548674/
115084,tt0401244,movie,The Baxter,The Baxter,0,2005,\N,91,"Comedy,Romance",6.5,4766,https://www.imdb.com/title/tt0401244/
234550,tt6409762,movie,Big Legend,Big Legend,0,2018,\N,89,"Action,Adventure,Horror",4.9,3786,https://www.imdb.com/title/tt6409762/
32657,tt0064626,movie,Devil in the Flesh,Le malizie di Venere,0,1969,\N,83,Drama,5.2,549,https://www.imdb.com/title/tt0064626/
61019,tt0116631,movie,Alive and Kicking,Indian Summer,0,1996,\N,98,"Comedy,Drama,Romance",6.4,822,https://www.imdb.com/title/tt0116631/
157799,tt1390411,movie,In the Heart of the Sea,In the Heart of the Sea,0,2015,\N,122,"Action,Adventure,Biography",6.9,131232,https://www.imdb.com/title/tt1390411/
247876,tt8322502,movie,American Sausage Standoff,Gutterbee,0,2019,\N,107,"Comedy,Drama",5.4,260,https://www.imdb.com/title/tt8322502/
26494,tt0055479,movie,The Steel Claw,The Steel Claw,0,1961,\N,96,"Drama,War",4.9,168,https://www.imdb.com/title/tt0055479/
214870,tt4383502,movie,Strike at Dawn,Strike at Dawn,0,2016,\N,65,"Action,War",7.1,15,https://www.imdb.com/title/tt4383502/
102592,tt0313659,movie,Sugatang puso,Sugatang puso,0,2000,\N,120,Drama,7.2,9,https://www.imdb.com/title/tt0313659/
191390,tt2458968,movie,China Concerto,China Concerto,0,2012,\N,50,"Documentary,History",7.2,9,https://www.imdb.com/title/tt2458968/
161098,tt14553896,movie,Seandainya Kau Ada,Seandainya Kau Ada,0,2021,\N,96,Romance,7.0,5,https://www.imdb.com/title/tt14553896/
12494,tt0035114,movie,Nazi Agent,Nazi Agent,0,1942,\N,83,"Crime,Drama",6.8,659,https://www.imdb.com/title/tt0035114/
111222,tt0372363,movie,The King of Sixth Street,The King of Sixth Street,0,2003,\N,\N,"Documentary,Music",8.9,13,https://www.imdb.com/title/tt0372363/
91248,tt0254329,movie,A Fleeting Passage to the Orient,Ein flüchtiger Zug nach dem Orient,0,1999,\N,82,Documentary,7.1,62,https://www.imdb.com/title/tt0254329/
123555,tt0473074,movie,The Gymnast,The Gymnast,0,2006,\N,96,"Drama,Romance,Sport",6.3,2161,https://www.imdb.com/title/tt0473074/
163129,tt1503091,movie,Byla ne byla,Byla ne byla,0,1986,\N,64,"Drama,Music",6.2,7,https://www.imdb.com/title/tt1503091/
201250,tt3229910,movie,Feng Shui,Huang jui fa-din-khon-likhit,0,2003,\N,94,Horror,3.7,16,https://www.imdb.com/title/tt3229910/
160450,tt14409214,movie,Monday um zehn,Monday um zehn,0,2021,\N,98,"Comedy,Drama",6.8,5,https://www.imdb.com/title/tt14409214/
74940,tt0175015,movie,Otklonenie - nol,Otklonenie - nol,0,1978,\N,\N,"Action,Drama",6.1,19,https://www.imdb.com/title/tt0175015/
137368,tt10551150,movie,Mao Zedong 1949,Jue sheng shi ke,0,2019,\N,140,"Biography,Drama,History",6.7,454,https://www.imdb.com/title/tt10551150/
33543,tt0065968,movie,The Last Rebel,The Last Rebel,0,1971,\N,90,Western,3.3,176,https://www.imdb.com/title/tt0065968/
220826,tt5014170,movie,Gola Berij,Gola Berij,0,2012,\N,144,Biography,5.8,10,https://www.imdb.com/title/tt5014170/
207065,tt3678082,movie,Min pinlige familie og mutantdræbersneglene,Min pinlige familie og mutantdræbersneglene,0,2010,\N,60,Adventure,8.4,12,https://www.imdb.com/title/tt3678082/
153305,tt1316050,movie,Generosity,Generosity,0,2011,\N,119,Drama,6.1,9,https://www.imdb.com/title/tt1316050/
32083,tt0063722,movie,Turismo de carretera,Turismo de carretera,0,1968,\N,96,Drama,6.8,10,https://www.imdb.com/title/tt0063722/
119998,tt0441891,movie,Peep Show,Peep Show,0,1965,\N,46,Drama,7.3,46,https://www.imdb.com/title/tt0441891/
79040,tt0190255,movie,The Basket,The Basket,0,1999,\N,105,Drama,6.5,581,https://www.imdb.com/title/tt0190255/
50410,tt0095180,movie,Friends,Friends,0,1988,\N,87,"Comedy,Drama",5.8,67,https://www.imdb.com/title/tt0095180/
227270,tt5658580,movie,Romeo & Radhika,Romeo & Radhika,0,2016,\N,160,"Comedy,Romance",5.7,19,https://www.imdb.com/title/tt5658580/
143507,tt1145914,movie,Sisters of No Mercy,Sisters of No Mercy,0,2007,\N,85,Documentary,8.3,13,https://www.imdb.com/title/tt1145914/
201328,tt3234754,movie,"ASNI: the Life of Asnaketch Worku - Courage, Passion & Glamor in Ethiopia","ASNI: the Life of Asnaketch Worku - Courage, Passion & Glamor in Ethiopia",0,2013,\N,80,"Biography,Documentary,History",8.4,6,https://www.imdb.com/title/tt3234754/
210618,tt3985166,movie,Under Gottsunda,Under Gottsunda,0,2014,\N,73,Drama,6.9,23,https://www.imdb.com/title/tt3985166/
96223,tt0277903,movie,Morir de madrugada,Morir de madrugada,0,1980,\N,90,"Crime,Drama,Mystery",6.8,17,https://www.imdb.com/title/tt0277903/
175264,tt1836974,movie,Ecstasy of Order: The Tetris Masters,Ecstasy of Order: The Tetris Masters,0,2011,\N,93,Documentary,7.6,1505,https://www.imdb.com/title/tt1836974/
90379,tt0250240,movie,Bale Pandiya,Bale Pandiya,0,1962,\N,156,"Comedy,Romance",7.7,102,https://www.imdb.com/title/tt0250240/
87415,tt0234137,movie,Love & Sex,Love & Sex,0,2000,\N,82,"Comedy,Drama,Romance",6.2,5488,https://www.imdb.com/title/tt0234137/
